text,label
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Engaging in a regular mental health conversation.,0
Clare's favorite movies or non-mental health topics.,4
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Expressing thoughts or plans related to suicide.,3
Engaging in a regular mental health conversation.,0
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Expressing thoughts or plans related to suicide.,3
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Expressing thoughts or plans related to suicide.,3
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Clare's favorite movies or non-mental health topics.,4
Clare's favorite movies or non-mental health topics.,4
Asking about how Clare works or if Clare calls via phone or WhatsApp.,1
Engaging in a regular mental health conversation.,0
Inquiring about subscription details and trial duration.,2
Expressing thoughts or plans related to suicide.,3
Inquiring about subscription details and trial duration.,2
Clare's favorite movies or non-mental health topics.,4
Inquiring about subscription details and trial duration.,2
Engaging in a regular mental health conversation.,0
